EntrezGeneSymbol1	EntrezGeneSymbol2	score
PLXNC1	CD226	0.0719
TNFRSF9	CDK5 CDK5R1	0.0719
ALPL	RETN	0.0719
CCL17	CTSE	-0.0719
CTLA4	NGF	0.0719
HSPA1A	PAPPA	-0.0719
CCL20	CMA1	0.0718
DYNLRB1	IMPDH1	0.0718
CDK2 CCNA2	PTPN2	0.0718
CGA FSHB	TNFAIP6	-0.0718
MET	ADAMTS13	-0.0718
CD226	PRKAA1 PRKAB1  PRKAG1	0.0718
SPHK2	LEPR	-0.0718
TYRO3	CTSZ	-0.0718
EIF5A	KPNB1	0.0718
MASP1	TYMS	0.0718
CXCL16	VCAM1	-0.0718
DKKL1	PPP3R1	0.0718
DPT	TNFRSF12A	-0.0718
THBS1	SAA1	0.0718
ESR1	CAMK1	0.0718
FGF10	ACE2	0.0718
CD22	KIRREL3	0.0718
AKR7A2	NOTCH2	0.0717
FGF18	MAPK13	0.0717
MMP8	CAMK1	-0.0717
CAMK1	GRN	0.0717
C3	TNFSF4	-0.0717
IL12RB1	SYNCRIP	0.0717
MMP17	ERAP1	0.0716
ENTPD5	SPHK2	0.0716
CXCL1	CXCL6	0.0716
CST5	C1QBP	0.0716
CDK2 CCNA2	RPS6KA3	0.0716
IFNL2	IL11	0.0716
EREG	PRDX5	0.0716
FUT3	COL8A1	0.0716
MMP8	IL23R	0.0716
NTF4	ADAM12	0.0716
LGALS2	ANG	0.0716
CAMKK1	TXNDC12	0.0715
TNFSF12	TBP	0.0715
CTF1	BMP7	-0.0715
JAG2	SCARB2	0.0715
GDF11	PTPN1	0.0715
PLXNC1	IMPDH1	0.0715
CD5L	TGFBR2	0.0715
ADIPOQ	CHL1	0.0715
IGHD  IGK@ IGL@	SEMA6A	0.0715
A2M	CRP	-0.0715
SERPINE2	LEPR	-0.0715
CCL19	MAPK12	0.0715
ERBB3	EGFR	0.0714
IL11RA	SPTAN1	0.0714
PROC	TPM2	0.0714
FAM107B	UNC5C	0.0714
TEC	CA9	0.0714
CXCL10	RBM39	0.0714
DLL4	EPHB2	0.0714
IL12RB1	MST1R	0.0714
CD97	TPM2	0.0714
CADM3	HBEGF	0.0714
IL11RA	LTA	0.0714
IL16	HSPA1A	0.0714
UBE2I	LGALS4	0.0714
TNFSF8	LGALS3BP	0.0714
Human-virus	MAPK12	0.0714
KLK6	PIM1	0.0713
LY9	C3	0.0713
EFNB3	RPS6KA3	0.0713
RPS6KA5	SOD2	0.0713
CCL19	TNFRSF14	0.0713
XPNPEP1	KPNB1	0.0713
CRLF2	IMPDH1	0.0713
SPINT1	DSG1	0.0713
CA9	AMN	0.0713
MAPKAPK5	SGTA	-0.0712
PLA2G10	EPHB6	0.0712
IGFBP4	AGT	0.0712
CCL15	CD200R1	0.0712
JAM2	PDGFC	0.0712
TNFRSF17	PDE4D	-0.0712
GPC2	DNAJC19	0.0712
HSPD1	CD300C	0.0712
ADIPOQ	SHBG	0.0712
MPO	COTL1	0.0712
MAPK1	ADCYAP1	0.0712
CFC1	CGA CGB	0.0712
FGF2	LCMT1	0.0711
PAPPA	NUDCD3	-0.0711
PLAT	CDH12	0.0711
PLCG1	GP1BA	0.0711
ROR1	NID2	0.0711
CDKN1B	CA2	0.0711
IL23R	RTN4R	0.0711
YES1	REN	0.0711
IL17B	VEGFA	0.0711
PGAM1	CRP	0.0711
CSF3R	DPP7	-0.0711
PLA2G2E	COL8A1	0.0711
MST1	LILRB1	0.0711
MAPKAPK5	FABP3	0.0711
ARTN	PTN	0.0711
PTH	IL5	0.0711
AKT1 AKT2 AKT3	PRDX6	0.0711
CCL3	ADCYAP1	-0.0711
RPS6KA5	ARID3A	0.0711
PLA2G10	TNNI3	0.0710
IL17A	MDM2	-0.0710
DDR2	HS6ST1	0.0710
SIGLEC7	CHIT1	0.0710
FLT3LG	ITGAV ITGB5	0.0710
KLRK1	CFHR5	-0.0710
PAK6	EIF4G2	-0.0710
INHBA	WFIKKN2	-0.0710
CD163	NR1D1	0.0710
BMPER	GRAP2	0.0710
SOD1	CAT	0.0710
NPPB	SORCS2	0.0710
NOV	PRSS3	0.0710
MAPK13	SLAMF6	0.0710
LMNB1	HBA1 HBB	0.0710
IL12RB1	LTA4H	0.0709
FCGR2A FCGR2B	PRTN3	-0.0709
BMP7	EDA2R	0.0709
ARPP19	RPS3	0.0709
CNTN1	PRDX6	0.0709
BSG	DAPK2	0.0709
TLR2	BIRC7	0.0709
AGRP	CDON	0.0709
BMP1	CDON	0.0709
ANGPT2	PSPN	0.0709
BIRC7	EREG	0.0709
FAM107B	TYMS	0.0709
MAP2K2	KLK3	0.0709
LGALS4	ARPP19	0.0709
ICAM1	ERAP1	-0.0709
SERPINE1	PRSS2	0.0708
TIMP2	TSLP	0.0708
PTH	TFF3	0.0708
EGFR	IGF2R	0.0708
ADAMTS5	HS6ST1	0.0708
PAK6	PDPK1	-0.0708
CFC1	MICB	0.0708
IGFBP2	MAP2K4	0.0708
HMGB1	HIST1H1C	0.0708
MET	L1CAM	0.0708
ARG1	MFGE8	0.0708
IL6ST	MRC2	0.0707
FCRL3	CSNK2A2 CSNK2B	0.0707
MMP17	CST5	0.0707
PLAT	CDC2 CCNB1	0.0707
PLAUR	TNFRSF19	-0.0707
CD84	ANXA1	0.0707
KRAS	NPPA	0.0707
AIMP1	BMP1	0.0707
GZMA	LAG3	0.0707
C3	GOT1	0.0707
CNDP2	NTF4	0.0707
FGF10	PLA2G5	0.0707
HGF	WFIKKN2	0.0707
CDC42BPB	BMPER	0.0707
GNLY	NPPA	-0.0707
CTLA4	TNNI2	0.0707
CAPN1 CAPNS1	PPIA	0.0707
UFM1	BRF1	0.0707
PRL	IL13	0.0707
VWF	C6	0.0706
PLA2G2E	HPX	-0.0706
CCL3L1	PAK7	0.0706
ALB	CCL19	0.0706
ENTPD1	ABL2	0.0706
CLU	EIF4A3	0.0706
GNS	OCIAD1	0.0706
AIP	FER	0.0706
CFI	C5	0.0706
CTSC	LCORL	0.0706
IGHE IGK@ IGL@	RB1	0.0705
KIR3DL2	SLAMF6	0.0705
KIR2DL4	ELANE	0.0705
PPY	MAPK13	0.0705
CFC1	DSC3	0.0705
EPHA1	CSF3	-0.0705
FGFR2	FGF8	0.0705
CCL13	LRRTM1	0.0705
MED1	GREM1	0.0705
ERBB2	LIFR	0.0705
COLEC11	IL1A	0.0705
RPS6KA5	IFNL1	0.0705
HMOX2	SPINT1	0.0705
WFIKKN2	ABL2	0.0705
IL18BP	EPHB2	0.0705
BST1	IL20RA	-0.0705
EFNA4	SCARB2	0.0705
GAS1	NSFL1C	0.0704
MB	RELT	0.0704
PTHLH	C4A C4B	-0.0704
CCL14	CCL18	-0.0704
DSC3	GP1BA	0.0704
CCL25	SHH	0.0704
RBM39	PRLR	0.0704
IL12RB2	SCARB2	0.0704
CDH1	CCL11	0.0704
GSN	KRAS	0.0704
CCL15	CALR	0.0704
FGF18	TNFSF14	0.0704
GP1BA	PCSK9	0.0704
PRDX6	NOTCH3	0.0704
AHSG	MSLN	0.0704
IL37	CD70	0.0704
ARTN	PIK3CA PIK3R1	0.0704
IL13RA1	TNFAIP6	0.0703
AGER	PRDX5	0.0703
PCSK7	TYMS	0.0703
DIABLO	DDC	0.0703
FAM107A	PRLR	0.0703
C1QBP	SOD2	0.0703
HMGB1	TK1	0.0703
ARSB	ELANE	0.0703
SERPINA4	LRPAP1	-0.0703
ARG1	ZAP70	0.0703
F11	SERPINF2	0.0703
OSM	MMP7	0.0702
CD33	LIFR	-0.0702
WFIKKN1	XCL1	0.0702
PRKCZ	KLRF1	0.0702
FGR	FAM107B	0.0702
CSF3R	IL20RA	-0.0702
AIMP1	IL16	0.0702
MPO	HGF	-0.0702
IL17F	DDR2	0.0702
APOB	ABL2	0.0702
CA4	ASAH2	0.0702
SPTAN1	IL27RA	0.0701
FCRL3	Human-virus	0.0701
JAM3	SERPIND1	-0.0701
SEMA3A	CHST6	0.0701
PIGR	ERAP1	0.0701
CRISP3	NTF3	0.0701
MAPT	MMP16	0.0701
ERBB4	SCARB2	0.0701
HTRA2	KYNU	0.0701
CXCL6	GRAP2	0.0701
GCG	CD86	-0.0701
AGR2	CTSZ	0.0701
PCNA	IMPDH1	0.0701
TACSTD2	SLAMF7	0.0700
CCL8	IL17A	0.0700
ETHE1	CD226	0.0700
MMP3	IGHD  IGK@ IGL@	-0.0700
AGRP	BCL2A1	0.0700
PF4	EPHB4	0.0700
F7	THBS4	0.0700
LTA4H	IL7	0.0700
TNFSF12	CCL3L1	0.0700
TNFSF12	ENTPD1	0.0700
MB	CA1	-0.0700
FLT3LG	VEGFC	0.0700
RPS27A	EPB41	0.0700
FGF2	TNNI3	0.0700
PRDX1	EPB41	0.0700
CHEK1	LILRB2	0.0700
EDA	IL5RA	0.0700
CST3	ANG	0.0700
CRISP3	NUDCD3	0.0699
FGFR1	CHL1	0.0699
SEZ6L2	CD274	0.0699
EPB41	AGR2	0.0699
CTSG	TPM1	0.0699
PRTN3	SERPINA3	0.0699
TNFRSF13B	ELANE	0.0699
AMH	JAK2	0.0699
HMGB1	BMP10	0.0699
PLAT	BDNF	0.0699
FGF5	PLA2G7	0.0699
MMP7	BMP1	0.0699
REN	CDON	0.0699
ERBB2	MDM2	-0.0698
EFNA4	RELT	0.0698
TNFRSF9	DNAJB1	0.0698
ADCYAP1	Human-virus	0.0698
SPINT1	LYVE1	0.0698
FGF20	SKP1	0.0698
MICA	CA6	0.0698
MAPT	SERPING1	0.0698
WFIKKN1	LRIG3	0.0698
DLL4	CGA CGB	0.0698
C3	GCG	-0.0698
KLRK1	SNRPF	0.0698
KYNU	LGALS8	0.0698
AKR7A2	KRAS	0.0698
HBEGF	TNNI2	0.0698
TNFRSF8	OSM	0.0698
SERPINA4	ADCYAP1	-0.0697
TGM3	CDH15	0.0697
DMP1	IL11RA	0.0697
MMP9	PPA1	0.0697
LAYN	MMP8	0.0697
ANGPT4	GFRA3	0.0697
SERPINF2	C5 C6	0.0697
JAM2	CTSH	0.0697
PRKCZ	CYCS	0.0697
SLPI	GPC5	-0.0697
IGFBP7	CHST15	0.0697
AIF1	CKB	0.0697
NAAA	IDS	0.0697
IL13	KLRF1	0.0697
AGRP	WFIKKN1	0.0697
IDUA	KYNU	0.0697
LTA LTB	TGFB3	0.0697
CTLA4	SOD2	0.0696
BSG	CADM3	0.0696
CD209	CCL18	0.0696
CSF1R	PCSK9	0.0696
FSTL3	SPARCL1	0.0696
KLRK1	BCL2A1	0.0696
MMP7	NXPH1	-0.0696
EDA	PFDN5	0.0696
MAPK1	IGHD  IGK@ IGL@	0.0696
PGLYRP1	S100A9	0.0696
PSPN	CCL25	0.0696
PTHLH	CCNB1	-0.0695
COL8A1	PDE11A	0.0695
SERPINF2	CTSE	0.0695
IGFBP5	C3	0.0695
DPT	MAPK12	0.0695
IL17A	PPA1	0.0695
VEGFC	GCKR	0.0695
ANGPTL3	XCL1	0.0695
SELE	FUT5	-0.0695
PTPN1	PTEN	0.0695
FCAR	CD300C	0.0695
TPSG1	ADIPOQ	0.0694
Human-virus	GNS	0.0694
MAP2K2	MMP14	-0.0694
KREMEN2	IMPDH1	0.0694
C3	RARRES2	0.0694
FST	TF	0.0694
OLR1	PTGS2	0.0694
IL4R	CDNF	0.0694
C5	CFH	0.0694
CCL20	PIK3CA PIK3R1	0.0694
AGRP	AIF1	0.0693
TLR2	EREG	0.0693
F3	CSNK2A2 CSNK2B	0.0693
PLAT	LEPR	-0.0693
PDE3A	TNFRSF11A	0.0693
FAM107A	CA4	0.0693
TYRO3	LY9	0.0693
IGFBP2	CNDP1	-0.0693
PSMA2	Human-virus	0.0693
TPM1	IL17RB	0.0693
SHBG	SNRPF	0.0693
COL18A1	IGFBP2	0.0693
PROC	CD163	0.0693
BMPR2	SPTAN1	0.0693
CFP	SERPINA5	0.0693
XCL1	CRTAM	0.0692
TBK1	CSNK2A1	0.0692
IL11RA	MMP13	0.0692
TNFSF12	CA9	0.0692
FTH1 FTL	KLK6	0.0692
CD33	PAK3	0.0692
PCNA	TNF	0.0692
CCL21	IFNL2	0.0692
CSF3	FGFR4	-0.0692
BIRC5	DNAJC19	0.0692
TEK	IL11	-0.0692
FGFR3	FGR	0.0692
CD22	HBEGF	0.0692
CRLF1 CLCF1	TNFSF14	0.0692
CD4	ANGPTL3	-0.0692
ERBB3	IL5	-0.0691
LGMN	DKKL1	0.0691
GSN	SELL	0.0691
LGALS3	ALCAM	0.0691
CNDP1	KNG1	0.0691
CA3	CA1	0.0691
PRKCD	CCL22	0.0691
DAPK2	GRAP2	0.0691
CCDC80	THBS4	0.0691
OSM	LYZ	0.0691
OCIAD1	GRAP2	0.0691
ACVR1B	SELL	0.0691
KLK13	FCN3	-0.0690
BMP1	ESM1	-0.0690
TBP	XCL1	0.0690
FCGR2A FCGR2B	IL3RA	0.0690
CD22	ACAN	0.0690
CCL1	HBA1 HBB	0.0690
MAP2K2	CDON	-0.0689
CTSD	H2AFZ	0.0689
CST5	SFN	-0.0689
HGFAC	PDE4D	0.0689
BPI	S100A9	0.0689
FCRL3	SCARB2	0.0689
UBE2L3	TNFRSF25	0.0689
DDR2	SPOCK2	0.0689
CD209	SFN	0.0689
PLAT	GPNMB	0.0689
FABP3	GDF2	0.0689
FGF18	SKP1	0.0689
ANGPT1	APP	0.0689
FCN3	TPM1	-0.0689
PROC	MAP2K2	0.0689
OLR1	BMPR2	0.0689
SOD1	PSMA6	0.0689
A2M	LGALS3BP	0.0689
ACP5	SELE	0.0689
ICAM3	CCL8	0.0688
SEMA3A	EEF1B2	-0.0688
MMP14	SOD2	0.0688
ADAM9	ARPP19	0.0688
CD209	GCKR	0.0688
EPHA1	RTN4R	0.0688
CAST	HIPK3	0.0688
DYNLL1	FGF8	0.0688
NLGN4X	SEMA3E	0.0688
H2AFZ	LRRTM1	0.0688
C4A C4B	LYZ	0.0688
ENTPD1	CASP3	0.0688
IGFBP4	ICAM5	0.0688
TGFBI	DDR2	0.0688
LRPAP1	PLG	0.0688
ESM1	DAPK2	0.0688
CCL5	PDE7A	0.0688
IGFBP3	STC1	-0.0688
MATK	CCL19	0.0688
FGF18	HS6ST1	0.0688
SERPINE2	SNX4	0.0688
CCL21	GRN	0.0687
CDH3	SERPINA4	0.0687
AGER	ROBO2	0.0687
CCL21	CTLA4	-0.0687
IL17B	PDE7A	0.0687
CXCL3 CXCL2	FGF2	0.0687
FGF5	GP1BA	0.0687
CD22	DYNLL1	0.0687
B2M	LTA LTB	0.0687
APCS	IGFBP7	-0.0687
TIMP3	CDH1	0.0687
IL17A	GDF2	0.0686
APCS	DLL4	-0.0686
HBEGF	LILRB1	0.0686
POR	IL27 EBI3	0.0686
CFL1	SRC	0.0686
Human-virus	PCNA	0.0686
MAPKAPK2	CDNF	0.0686
CFB	SLC25A18	-0.0686
SELE	GRN	0.0686
TSLP	ING1	0.0686
SELL	GOT1	-0.0686
DKK1	PDGFB	0.0686
IL13RA1	TGFB2	0.0686
INHBA	EPHA1	0.0686
FCER2	SPOCK2	0.0686
EDAR	CKAP2	0.0686
MMP9	BPI	0.0686
TPSG1	LCMT1	0.0686
TSLP	TNNI2	0.0685
GNS	BMPER	-0.0685
PRL	SLPI	0.0685
PSPN	THBS2	0.0685
MRC2	ERAP1	-0.0685
FCN2	GFRA1	0.0685
CCL25	CCL19	0.0685
ESM1	OMD	0.0685
IL1RL2	NTF4	0.0685
PIGR	CXCL13	0.0685
KLK6	AKR1A1	0.0685
FLT4	ACP5	-0.0685
CCL23	CCL15	0.0685
OCIAD1	HNRNPA2B1	0.0685
FGF6	EPS15L1	0.0685
SERPIND1	HCK	-0.0685
STAB2	RPS6KA3	0.0684
PROK1	TNFRSF4	0.0684
IL17RA	PDGFRB	0.0684
FGF19	FCRL3	0.0684
BCAN	CCL24	0.0684
TOP1	ENG	0.0684
DCN	IL19	0.0684
NCR2	VIP	0.0684
FGF16	FGF8	0.0684
TGFB1	PRSS2	0.0684
DAPK2	JAG2	0.0684
COMMD7	WNT7A	-0.0684
BMP10	PPIB	0.0684
CX3CL1	PTK6	0.0684
CCL8	IFNL1	0.0684
PPIB	CD226	0.0684
ENG	ICAM5	0.0684
CCL20	DKKL1	0.0684
IL37	PIK3CA PIK3R1	0.0683
CTSZ	RTN4R	0.0683
NCR2	F3	0.0683
PTH	TNFRSF10A	-0.0683
FGF2	BCAR3	0.0683
GRN	LAG3	0.0683
CFD	WNT7A	0.0683
CTSD	SET	0.0683
SORCS2	GPNMB	0.0683
MATN2	ADAM9	0.0683
FCGR3B	FGF4	0.0683
PRSS27	LIFR	0.0683
COL18A1	CTSS	-0.0682
LAMA1 LAMB1  LAMC1	CGA CGB	0.0682
CKB CKM	PTK2	0.0682
TPSG1	FST	0.0682
CA7	SKP1	0.0682
CDC42BPB	ADCYAP1	0.0682
SPINT2	ENTPD5	0.0682
MFRP	IFNL1	0.0682
IL2RG	PARK7	0.0682
FGF10	MAP2K1	0.0682
ERBB3	MSN	0.0682
APCS	CFH	0.0682
APP	ANXA6	0.0682
GFRA3	ELANE	0.0682
CXCL10	ITGAV ITGB5	-0.0681
MIA	SIGLEC1	0.0681
PRSS3	MSN	0.0681
IL1RAP	HIBADH	0.0681
LAMA1 LAMB1  LAMC1	ANXA6	0.0681
CCL3L1	CTLA4	0.0681
TGFB2	CASP10	0.0681
TNFSF15	LGALS3BP	0.0681
ERBB4	HS6ST1	0.0681
CCL15	CCL16	-0.0681
HAVCR2	NR1D1	-0.0681
GPT	RPS27A	0.0681
ROR1	MAPKAPK3	0.0681
CCL20	GSTA3	-0.0681
AZU1	KLK6	0.0681
GP6	SELP	0.0681
FOLH1	CGA CGB	0.0681
GFRA3	CCL4L1	0.0681
PROC	F2	0.0680
ABL1	TEC	0.0680
CMA1	IGF2R	0.0680
FOLH1	HDGFRP2	0.0680
PLAU	IL22RA2	0.0680
PIK3CA PIK3R1	CDH15	0.0680
GFRA2	IL6R	0.0680
VWF	CDON	-0.0680
ANGPTL4	CCL24	0.0680
GFAP	MAPK8	0.0680
PLG	PLCG1	0.0680
IL1RL1	CD70	0.0680
KLRK1	GNLY	0.0680
FLT3	FCAR	0.0679
INHBA	IDS	0.0679
PTPN2	CAMK1D	0.0679
APOB	GRN	0.0679
C3	IGHG1 IGHG2 IGHG3 IGHG4 IGK@ IGL@	0.0679
